RES_LAD23CD,WORK_LAD23CD,flow
E06000001,E06000001,20777
E06000001,E06000002,1591
E06000001,E06000003,534
E06000001,E06000004,3865
E06000001,E06000005,433
E06000001,E06000006,5
E06000001,E06000007,2
E06000001,E06000009,1
E06000001,E06000010,8
E06000001,E06000011,24
E06000001,E06000012,6
E06000001,E06000013,3
E06000001,E06000014,30
E06000001,E06000015,6
E06000001,E06000016,3
E06000001,E06000017,4
E06000001,E06000018,6
E06000001,E06000019,2
E06000001,E06000020,3
E06000001,E06000021,1
E06000001,E06000022,1
E06000001,E06000023,2
E06000001,E06000025,10
E06000001,E06000026,8
E06000001,E06000030,1
E06000001,E06000031,6
E06000001,E06000032,7
E06000001,E06000034,2
E06000001,E06000035,7
E06000001,E06000036,1
E06000001,E06000037,3
E06000001,E06000040,3
E06000001,E06000041,7
E06000001,E06000042,3
E06000001,E06000044,9
E06000001,E06000045,1
E06000001,E06000046,1
E06000001,E06000047,2269
E06000001,E06000049,14
E06000001,E06000050,1
E06000001,E06000051,9
E06000001,E06000052,5
E06000001,E06000054,3
E06000001,E06000055,1
E06000001,E06000056,3
E06000001,E06000057,47
E06000001,E06000058,1
E06000001,E06000059,1
E06000001,E06000060,5
E06000001,E06000061,4
E06000001,E06000062,9
E06000001,E06000063,24
E06000001,E06000064,10
E06000001,E06000065,252
E06000001,E06000066,7
E06000001,E07000008,2
E06000001,E07000009,1
E06000001,E07000011,4
E06000001,E07000012,4
E06000001,E07000032,1
E06000001,E07000034,1
E06000001,E07000036,1
E06000001,E07000038,1
E06000001,E07000039,1
E06000001,E07000040,3
E06000001,E07000042,1
E06000001,E07000044,2
E06000001,E07000045,1
E06000001,E07000063,3
E06000001,E07000069,2
E06000001,E07000070,1
E06000001,E07000071,1
E06000001,E07000072,1
E06000001,E07000073,1
E06000001,E07000076,3
E06000001,E07000077,4
E06000001,E07000078,1
E06000001,E07000080,2
E06000001,E07000081,1
E06000001,E07000082,1
E06000001,E07000084,4
E06000001,E07000085,5
E06000001,E07000087,1
E06000001,E07000088,7
E06000001,E07000089,6
E06000001,E07000091,3
E06000001,E07000092,2
E06000001,E07000096,1
E06000001,E07000099,1
E06000001,E07000102,3
E06000001,E07000103,5
E06000001,E07000107,4
E06000001,E07000110,1
E06000001,E07000111,1
E06000001,E07000112,3
E06000001,E07000117,1
E06000001,E07000119,8
E06000001,E07000120,6
E06000001,E07000121,2
E06000001,E07000122,1
E06000001,E07000123,3
E06000001,E07000125,4
E06000001,E07000126,1
E06000001,E07000128,1
E06000001,E07000130,1
E06000001,E07000137,1
E06000001,E07000139,4
E06000001,E07000140,1
E06000001,E07000142,2
E06000001,E07000144,3
E06000001,E07000145,2
E06000001,E07000146,1
E06000001,E07000148,1
E06000001,E07000149,2
E06000001,E07000170,3
E06000001,E07000171,11
E06000001,E07000172,4
E06000001,E07000174,3
E06000001,E07000175,1
E06000001,E07000176,1
E06000001,E07000177,2
E06000001,E07000178,5
E06000001,E07000179,1
E06000001,E07000180,6
E06000001,E07000181,2
E06000001,E07000192,7
E06000001,E07000193,3
E06000001,E07000194,2
E06000001,E07000195,1
E06000001,E07000196,1
E06000001,E07000197,3
E06000001,E07000199,1
E06000001,E07000200,1
E06000001,E07000203,3
E06000001,E07000209,1
E06000001,E07000210,6
E06000001,E07000211,1
E06000001,E07000212,7
E06000001,E07000213,2
E06000001,E07000214,5
E06000001,E07000217,2
E06000001,E07000220,4
E06000001,E07000221,2
E06000001,E07000222,2
E06000001,E07000224,4
E06000001,E07000225,4
E06000001,E07000226,5
E06000001,E07000227,1
E06000001,E07000228,2
E06000001,E07000241,2
E06000001,E07000244,1
E06000001,E07000245,4
E06000001,E08000001,1
E06000001,E08000003,13
E06000001,E08000004,1
E06000001,E08000005,5
E06000001,E08000006,5
E06000001,E08000007,2
E06000001,E08000009,10
E06000001,E08000010,2
E06000001,E08000011,2
E06000001,E08000012,1
E06000001,E08000014,1
E06000001,E08000016,9
E06000001,E08000017,16
E06000001,E08000018,2
E06000001,E08000019,13
E06000001,E08000021,310
E06000001,E08000022,104
E06000001,E08000023,121
E06000001,E08000024,651
E06000001,E08000025,20
E06000001,E08000026,3
E06000001,E08000028,5
E06000001,E08000029,2
E06000001,E08000030,3
E06000001,E08000031,8
E06000001,E08000032,8
E06000001,E08000033,1
E06000001,E08000034,13
E06000001,E08000035,52
E06000001,E08000036,44
E06000001,E08000037,173
E06000001,E09000001,9
E06000001,E09000002,2
E06000001,E09000003,4
E06000001,E09000004,1
