outla,inla,moves
E06000001,E06000001,3548.6446638688017
E06000001,E06000002,97.6043
E06000001,E06000003,74.5557
E06000001,E06000004,348.4655
E06000001,E06000005,46.259499999999996
E06000001,E06000006,1.4504
E06000001,E06000007,4.3986
E06000001,E06000009,2.7585
E06000001,E06000010,6.321899999999999
E06000001,E06000011,15.833000000000002
E06000001,E06000013,1.4586
E06000001,E06000014,5.3239
E06000001,E06000015,1.4828
E06000001,E06000016,3.8731
E06000001,E06000018,1.3655
E06000001,E06000019,1.2441
E06000001,E06000021,1.3232
E06000001,E06000022,2.5327
E06000001,E06000023,8.8874
E06000001,E06000025,3.7986000000000004
E06000001,E06000032,1.3068
E06000001,E06000033,2.5059
E06000001,E06000036,1.1933
E06000001,E06000039,1.2158
E06000001,E06000042,3.6702999999999997
E06000001,E06000043,2.5164999999999997
E06000001,E06000044,2.4696
E06000001,E06000045,7.3619
E06000001,E06000047,559.0169000000001
E06000001,E06000050,2.8848000000000003
E06000001,E06000051,6.920999999999999
E06000001,E06000052,4.4963
E06000001,E06000054,1.2947
E06000001,E06000055,1.2919
E06000001,E06000057,37.7459
E06000001,E06000058,2.6443
E06000001,E06000059,1.3242
E06000001,E06000060,2.4354
E06000001,E06000061,6.261799999999999
E06000001,E06000063,1.4079
E06000001,E06000064,6.8658
E06000001,E06000065,54.6696
E06000001,E06000066,6.0976
E06000001,E07000008,2.6654999999999998
E06000001,E07000009,1.3731
E06000001,E07000011,1.3156
E06000001,E07000035,1.4588
E06000001,E07000037,7.2866
E06000001,E07000039,1.2859
E06000001,E07000041,2.5227
E06000001,E07000047,1.264
E06000001,E07000062,1.259
E06000001,E07000075,1.2643
E06000001,E07000079,1.2942
E06000001,E07000080,2.5905
E06000001,E07000081,1.2989
E06000001,E07000085,2.4286000000000003
E06000001,E07000086,1.2518
E06000001,E07000088,1.2137
E06000001,E07000090,2.349
E06000001,E07000091,1.2362
E06000001,E07000092,2.4157
E06000001,E07000093,2.4374000000000002
E06000001,E07000103,1.2
E06000001,E07000108,4.5596
E06000001,E07000110,3.2058
E06000001,E07000111,1.55
E06000001,E07000112,1.5282
E06000001,E07000113,1.577
E06000001,E07000114,1.5654
E06000001,E07000118,1.7003
E06000001,E07000119,1.3858
E06000001,E07000121,4.1907
E06000001,E07000122,4.0282
E06000001,E07000123,1.3722
E06000001,E07000132,2.5812999999999997
E06000001,E07000133,1.2123
E06000001,E07000134,5.0043
E06000001,E07000136,1.4374
E06000001,E07000138,1.4221
E06000001,E07000140,2.815
E06000001,E07000141,2.7145
E06000001,E07000142,8.5246
E06000001,E07000144,2.4406
E06000001,E07000145,1.2168
E06000001,E07000146,2.4085
E06000001,E07000147,1.2499
E06000001,E07000148,1.2005
E06000001,E07000170,1.3147
E06000001,E07000171,1.4025
E06000001,E07000172,1.3268
E06000001,E07000175,1.391
E06000001,E07000177,2.5382
E06000001,E07000197,1.2132
E06000001,E07000198,2.6036
E06000001,E07000200,2.1945
E06000001,E07000202,2.2628
E06000001,E07000214,1.3691
E06000001,E07000217,2.8514999999999997
E06000001,E07000219,1.1191
E06000001,E07000220,1.0877
E06000001,E07000221,2.2998000000000003
E06000001,E07000224,2.5268
E06000001,E07000235,1.5691
E06000001,E07000242,2.4154999999999998
E06000001,E07000243,2.3794
E06000001,E07000244,5.343100000000001
E06000001,E07000245,3.3156999999999996
E06000001,E08000001,1.6189
E06000001,E08000002,1.243
E06000001,E08000003,11.030199999999999
E06000001,E08000004,3.1564
E06000001,E08000005,2.4699999999999998
E06000001,E08000006,1.2986
E06000001,E08000007,1.1288
E06000001,E08000008,1.536
E06000001,E08000009,1.2841
E06000001,E08000010,4.7351
E06000001,E08000011,1.1068
E06000001,E08000012,11.7105
E06000001,E08000013,1.1439
E06000001,E08000014,4.8146
E06000001,E08000015,6.435600000000001
E06000001,E08000016,7.895099999999999
E06000001,E08000017,8.1567
E06000001,E08000019,12.1724
E06000001,E08000021,58.4594
E06000001,E08000022,17.3031
E06000001,E08000023,16.2914
E06000001,E08000024,76.1746
E06000001,E08000025,5.456300000000001
E06000001,E08000027,6.0873
E06000001,E08000029,1.7251
E06000001,E08000032,12.8411
E06000001,E08000033,1.8481
E06000001,E08000034,14.7964
E06000001,E08000035,23.503300000000003
E06000001,E08000036,4.0275
E06000001,E08000037,42.767399999999995
E06000001,E09000003,2.6696999999999997
E06000001,E09000004,1.3016
E06000001,E09000005,1.1681
E06000001,E09000006,1.3167
E06000001,E09000008,2.975
E06000001,E09000009,1.1922
E06000001,E09000010,1.3065
E06000001,E09000011,1.3295
E06000001,E09000012,1.4997
E06000001,E09000014,3.9911000000000003
E06000001,E09000016,3.8707000000000003
E06000001,E09000017,1.3258
E06000001,E09000018,1.222
E06000001,E09000019,4.791
E06000001,E09000023,2.7254
E06000001,E09000024,3.8023
E06000001,E09000025,3.0006
E06000001,E09000026,4.5003
E06000001,E09000028,2.6947
E06000001,E09000030,7.4737
E06000001,E09000031,3.0148
E06000001,E09000032,5.1466
E06000001,E09000033,2.8133
E06000001,W06000002,1.1694
E06000001,W06000005,1.2265
E06000001,W06000009,3.5981000000000005
E06000001,W06000010,1.1361
E06000001,W06000011,1.3582
E06000001,W06000013,1.4157
E06000001,W06000015,4.023
E06000001,W06000016,1.296
E06000001,W06000019,1.6966
E06000001,W06000021,1.7274
E06000002,E06000001,141.5348
E06000002,E06000002,5497.863679196176
E06000002,E06000003,1070.7219999999998
E06000002,E06000004,1309.1716999999999
E06000002,E06000005,247.24970000000002
E06000002,E06000006,2.9394
E06000002,E06000007,2.9153000000000002
E06000002,E06000008,7.6394
E06000002,E06000009,13.814499999999999
E06000002,E06000010,20.6416
E06000002,E06000011,33.274100000000004
E06000002,E06000012,5.8174
E06000002,E06000013,7.348800000000001
E06000002,E06000014,62.8947
E06000002,E06000015,15.2559
E06000002,E06000016,44.5388
E06000002,E06000017,3.8129
E06000002,E06000018,31.0747
E06000002,E06000020,6.4631
E06000002,E06000021,12.944899999999999
E06000002,E06000022,1.2653
E06000002,E06000023,11.3873
E06000002,E06000024,6.3556
E06000002,E06000025,8.863800000000001
E06000002,E06000026,5.0365
E06000002,E06000027,10.0258
E06000002,E06000030,6.450100000000001
E06000002,E06000031,23.945999999999998
E06000002,E06000032,15.467299999999998
E06000002,E06000033,14.0206
E06000002,E06000034,2.5566
E06000002,E06000035,6.1655
E06000002,E06000037,4.8517
E06000002,E06000038,4.85
E06000002,E06000039,12.1487
E06000002,E06000040,3.6323
E06000002,E06000041,3.6272
E06000002,E06000042,7.2162
E06000002,E06000043,5.0135
E06000002,E06000044,9.882900000000001
E06000002,E06000045,25.9125
E06000002,E06000047,394.7056
E06000002,E06000049,14.2332
E06000002,E06000050,19.8823
E06000002,E06000051,3.8790999999999998
E06000002,E06000052,13.1282
E06000002,E06000054,16.779899999999998
E06000002,E06000055,10.334299999999999
E06000002,E06000056,12.9612
E06000002,E06000057,43.999300000000005
E06000002,E06000058,13.6019
E06000002,E06000059,6.8025
E06000002,E06000060,10.7677
E06000002,E06000061,4.9902
E06000002,E06000062,13.576600000000001
E06000002,E06000063,16.8352
E06000002,E06000064,8.329
E06000002,E06000065,331.4866999999999
E06000002,E06000066,42.6198
E06000002,E07000008,6.6333
E06000002,E07000009,4.0012
E06000002,E07000010,3.9767
E06000002,E07000011,10.6386
E06000002,E07000012,14.7319
E06000002,E07000032,3.7567999999999997
E06000002,E07000034,7.387300000000001
E06000002,E07000036,2.5254
E06000002,E07000038,1.4473
E06000002,E07000039,5.2532
E06000002,E07000041,2.5208
E06000002,E07000042,1.2411
E06000002,E07000045,3.7634999999999996
E06000002,E07000046,1.2328
E06000002,E07000061,16.2182
E06000002,E07000062,12.5369
E06000002,E07000064,6.2521
E06000002,E07000066,2.5991
E06000002,E07000067,1.2736
E06000002,E07000070,6.3501
E06000002,E07000071,5.0718
E06000002,E07000073,2.5468
E06000002,E07000075,2.5188
E06000002,E07000076,5.0739
E06000002,E07000077,8.9092
E06000002,E07000078,2.6088
E06000002,E07000079,1.3142
E06000002,E07000081,11.8272
E06000002,E07000083,6.5781
E06000002,E07000084,2.4755000000000003
E06000002,E07000085,2.4692999999999996
E06000002,E07000086,3.7016
E06000002,E07000089,1.2405
E06000002,E07000090,1.2383
E06000002,E07000091,1.2332
E06000002,E07000092,2.4735
E06000002,E07000093,6.177099999999999
E06000002,E07000094,2.4638
E06000002,E07000096,3.6058
E06000002,E07000098,2.3958
E06000002,E07000099,3.6192
E06000002,E07000102,2.4050000000000002
E06000002,E07000103,3.5994
E06000002,E07000105,6.1506
E06000002,E07000106,3.0762
E06000002,E07000107,1.5326
E06000002,E07000108,7.6941
E06000002,E07000109,1.5344
E06000002,E07000110,15.448899999999998
E06000002,E07000111,1.5351
E06000002,E07000112,1.5415
E06000002,E07000113,1.5498
E06000002,E07000116,4.6309000000000005
E06000002,E07000117,1.2776
E06000002,E07000118,3.34
E06000002,E07000119,1.383
E06000002,E07000121,15.2619
E06000002,E07000122,5.150599999999999
E06000002,E07000123,17.881600000000002
E06000002,E07000124,1.3096
E06000002,E07000125,2.5668
E06000002,E07000127,3.3151
E06000002,E07000129,3.8148
E06000002,E07000130,8.9135
E06000002,E07000132,1.2651
E06000002,E07000134,2.5511
E06000002,E07000135,1.2578
E06000002,E07000137,8.5221
E06000002,E07000138,5.7273
